Model,MeanTrainAcc,SETrainAcc,MeanValAcc,SEValAcc,MeanTrainDCorr,SETrainDCorr,MeanValDCorr,SEValDCorr
mnist_00noise_100nopeek_epoch=00,11.407499760389328,,11.420000344514847,,0.34599998593330383,0.001,0.3479999899864197,0.003
mnist_02noise_00nopeek_epoch=07,99.43249821662904,,98.00000190734863,,0.8180000185966492,0.001,0.8109999895095825,0.004
mnist_10noise_00nopeek_epoch=08,99.02499914169313,,97.64000177383423,,0.7850000262260437,0.001,0.781000018119812,0.005
mnist_00noise_50nopeek_epoch=09,84.78749990463255,,81.91999793052673,,0.33000001311302185,0.001,0.3529999852180481,0.003
mnist_01noise_00nopeek_epoch=06,99.35500025749208,,98.18000197410583,,0.8109999895095825,0.001,0.8040000200271606,0.004
mnist_05noise_00nopeek_epoch=08,99.39000010490416,,98.24000000953674,,0.8009999990463257,0.001,0.7950000166893005,0.004
mnist_00noise_00nopeek_epoch=06,99.34999942779541,,98.07999730110168,,0.8220000267028809,0.001,0.8149999976158142,0.004
mnist_00noise_01nopeek_epoch=09,99.6999979019165,,98.0400025844574,,0.4729999899864197,0.001,0.472000002861023,0.004
mnist_00noise_10nopeek_epoch=09,99.69249963760376,,97.89999723434448,,0.3680000007152557,0.001,0.375,0.004
mnist_00noise_05nopeek_epoch=08,99.69249963760376,,97.7999985218048,,0.3930000066757202,0.001,0.3889999985694885,0.003
