Model,MeanTrainAcc,SETrainAcc,MeanValAcc,SEValAcc,MeanTrainDCorr,SETrainDCorr,MeanValDCorr,SEValDCorr
noise0.1_peek0.5,98.86500239372253,,97.21999764442444,,0.44,0.001,0.439,0.003
noise0_peek0.2,99.24749732017517,,97.78000116348267,,0.491,0.001,0.484,0.003
noise0_peek0.5,99.03249740600586,,97.32000231742859,,0.438,0.001,0.435,0.003
noise0.1_peek0.2,98.989999294281,,97.57999777793884,,0.491,0.001,0.487,0.003
noise0.5_peek0.0,98.9799976348877,,97.51999974250793,,0.849,0.001,0.842,0.002
noise0.2_peek0.0,98.82000088691711,,97.47999906539917,,0.86,0.001,0.853,0.002
noise0.2_peek0.2,98.9650011062622,,97.32000231742859,,0.496,0.001,0.499,0.004
noise0.5_peek0.2,98.64000082015991,,97.11999893188477,,0.523,0.001,0.521,0.003
noise0.1_peek0.0,99.14249777793884,,97.82000184059143,,0.857,0.001,0.848,0.002
noise0.5_peek0.5,96.86999917030334,,95.31999826431274,,0.547,0.002,0.556,0.006
noise0.2_peek0.5,98.86500239372253,,97.21999764442444,,0.439,0.001,0.436,0.003
noise0_peek0.0,99.06250238418579,,97.82000184059143,,0.857,0.001,0.848,0.002
