Model,MeanTrainAcc,SETrainAcc,MeanValAcc,SEValAcc,MeanTrainDCorr,SETrainDCorr,MeanValDCorr,SEValDCorr
noise0.1_peek0.5,98.89249801635742,,97.2599983215332,,0.44,0.001,0.439,0.003
noise0_peek0.2,99.24749732017517,,97.78000116348267,,0.491,0.001,0.484,0.003
noise0_peek0.5,99.03249740600586,,97.32000231742859,,0.438,0.001,0.435,0.003
noise0.1_peek0.2,99.01000261306763,,97.51999974250793,,0.491,0.001,0.487,0.003
noise0.5_peek0.0,98.98499846458435,,97.46000170707703,,0.849,0.001,0.842,0.002
noise0.2_peek0.0,99.11500215530396,,97.7400004863739,,0.854,0.001,0.846,0.002
noise0.2_peek0.2,98.97500276565552,,97.3800003528595,,0.496,0.001,0.499,0.004
noise0.5_peek0.2,98.72750043869019,,97.32000231742859,,0.523,0.001,0.521,0.003
noise0.1_peek0.0,99.1474986076355,,97.75999784469604,,0.857,0.001,0.848,0.002
noise0.5_peek0.5,98.82749915122986,,97.29999899864197,,0.457,0.001,0.451,0.003
noise0.2_peek0.5,99.00500178337097,,97.50000238418579,,0.441,0.001,0.434,0.003
noise0_peek0.0,99.06250238418579,,97.82000184059143,,0.857,0.001,0.848,0.002
